car_ID,CarName,colour,fueltype,aspiration,doornumber,carbody,drivewheel,enginelocation,wheelbase,carlength,carwidth,carheight,kerbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,highwaympg,mileage (km/l),emission_levels (g/km of CO2),battery_capacity (kWh),car_weight,cruise_control,electronic_braking_system,hill_hold,tire_pressure_monitoring_system,sunroof,ventilated_seat,new_car_price
1,alfa-romero giulia,metallic,gas,std,2,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,4,130,mpfi,3.47,2.68,9,111,5000,27,14.28,142.37,39,1486,no,no,no,no,no,no,3360255
2,alfa-romero stelvio,metallic,gas,std,2,convertible,rwd,front,88.6,168.8,64.1,48.8,2548,dohc,4,130,mpfi,3.47,2.68,9,111,5000,27,12.92,138.16,39,1287,no,no,no,no,no,no,4108500
3,alfa-romero Quadrifoglio,metallic,gas,std,2,hatchback,rwd,front,94.5,171.2,65.5,52.4,2823,ohcv,6,152,mpfi,2.68,3.47,9,154,5000,26,15.44,129.82,39,1389,no,no,no,no,no,no,4108500
4,audi 100 ls,metallic,gas,std,4,sedan,fwd,front,99.8,176.6,66.2,54.3,2337,ohc,4,109,mpfi,3.19,3.4,10,102,5500,30,12.05,140.59,95,1355,no,yes,no,no,no,yes,3473550
5,audi 100ls,metallic,gas,std,4,sedan,4wd,front,99.4,176.6,66.4,54.3,2824,ohc,5,136,mpfi,3.19,3.4,8,115,5500,22,11.71,122.14,95,1165,no,yes,no,no,no,yes,4345050
6,audi fox,metallic,gas,std,2,sedan,fwd,front,99.8,177.3,66.3,53.1,2507,ohc,5,136,mpfi,3.19,3.4,8.5,110,5500,25,14.57,134.27,95,1236,no,yes,no,no,no,yes,3797250
7,audi 100ls,metallic,gas,std,4,sedan,fwd,front,105.8,192.7,71.4,55.7,2844,ohc,5,136,mpfi,3.19,3.4,8.5,110,5500,25,10.73,149.98,95,1445,no,yes,no,no,no,yes,4409790
8,audi 5000,metallic,gas,std,4,wagon,fwd,front,105.8,192.7,71.4,55.7,2954,ohc,5,136,mpfi,3.19,3.4,8.5,110,5500,25,11.36,124.01,95,1267,no,yes,no,no,no,yes,4711080
9,audi 4000,metallic,gas,turbo,4,sedan,fwd,front,105.8,192.7,71.4,55.9,3086,ohc,5,131,mpfi,3.13,3.4,8.3,140,5500,20,14.83,137.42,95,1573,no,yes,no,no,no,yes,5944875
10,audi 5000s (diesel),metallic,gas,turbo,2,hatchback,4wd,front,99.5,178.2,67.9,52,3053,ohc,5,131,mpfi,3.13,3.4,7,160,5500,22,14.11,145.23,95,1312,no,yes,no,no,no,yes,4446932.583
11,bmw 320i,metallic,gas,std,2,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,4,108,mpfi,3.5,2.8,8.8,101,5800,29,12.39,131.75,42.6,1378,no,yes,no,no,no,yes,4091070
12,bmw 320i,metallic,gas,std,4,sedan,rwd,front,101.2,176.8,64.8,54.3,2395,ohc,4,108,mpfi,3.5,2.8,8.8,101,5800,29,10.52,148.38,42.6,1454,no,yes,no,no,no,yes,4214325
13,bmw x1,metallic,gas,std,2,sedan,rwd,front,101.2,176.8,64.8,54.3,2710,ohc,6,164,mpfi,3.31,3.19,9,121,4250,28,15.62,140.02,42.5,1520,no,yes,no,no,no,yes,5221530
14,bmw x3,metallic,gas,std,4,sedan,rwd,front,101.2,176.8,64.8,54.3,2765,ohc,6,164,mpfi,3.31,3.19,9,121,4250,28,15.14,127.91,42.6,1248,no,yes,no,no,no,yes,5255145
15,bmw z4,metallic,gas,std,4,sedan,rwd,front,103.5,189,66.9,55.7,3055,ohc,6,164,mpfi,3.31,3.19,9,121,4250,25,12.86,136.29,42.6,1367,no,yes,no,no,no,yes,6116685
16,bmw x4,metallic,gas,std,4,sedan,rwd,front,103.5,189,66.9,55.7,3230,ohc,6,209,mpfi,3.62,3.39,8,182,5400,22,11.97,143.6,42.2,1536,no,yes,no,no,no,yes,7659240
17,bmw x5,metallic,gas,std,2,sedan,rwd,front,103.5,193.8,67.9,53.7,3380,ohc,6,209,mpfi,3.62,3.39,8,182,5400,22,12.35,139.54,42.6,1421,no,yes,no,no,no,yes,10287435
18,bmw x3,metallic,gas,std,4,sedan,rwd,front,110,197,70.9,56.3,3505,ohc,6,209,mpfi,3.62,3.39,8,182,5400,20,13.78,120.87,42.6,1178,no,yes,no,no,no,yes,9183120
19,chevrolet impala,standard,gas,std,2,hatchback,fwd,front,88.4,141.1,60.3,53.2,1488,l,3,61,2bbl,2.91,3.03,9.5,48,5100,53,11.23,147.15,66,1347,no,no,no,no,no,no,1282599
20,chevrolet monte carlo,standard,gas,std,2,hatchback,fwd,front,94.5,155.9,63.6,52,1874,ohc,4,90,2bbl,3.03,3.11,9.6,70,5400,43,14.05,132.93,66,1221,no,no,no,no,no,no,1567455
21,chevrolet vega 2300,standard,gas,std,4,sedan,fwd,front,94.5,158.8,63.6,52,1909,ohc,4,90,2bbl,3.03,3.11,9.6,70,5400,43,15.07,141.48,66,1189,no,no,no,no,no,no,1637175
22,dodge rampage,standard,gas,std,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,4,90,2bbl,2.97,3.23,9.41,68,5500,41,13.65,128.76,47,1359,no,no,no,no,no,no,1387428
23,dodge challenger se,standard,gas,std,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1876,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,38,12.19,123.28,47,1560,no,no,no,no,no,no,1587873
24,dodge d200,standard,gas,turbo,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,4,98,mpfi,3.03,3.39,7.6,102,5500,30,13.32,135.01,47,1275,no,no,no,no,no,no,1981293
25,dodge monaco (sw),standard,gas,std,4,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,38,10.98,142.72,47,1141,no,no,no,no,no,no,1551021
26,dodge colt hardtop,standard,gas,std,4,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,38,15.36,146,47,1381,no,no,no,no,no,no,1666308
27,dodge colt (sw),standard,gas,std,4,sedan,fwd,front,93.7,157.3,63.8,50.6,1989,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,38,10.26,130.34,47,1504,no,no,no,no,no,no,1894641
28,dodge coronet custom,standard,gas,turbo,2,sedan,fwd,front,93.7,157.3,63.8,50.6,2191,ohc,4,98,mpfi,3.03,3.39,7.6,102,5500,30,12.74,125.62,47,1190,no,no,no,no,no,no,2130942
29,dodge dart custom,standard,gas,std,4,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,4,122,2bbl,3.34,3.46,8.5,88,5000,30,14.91,144.35,47,1376,no,no,no,no,no,no,2221329
30,dodge coronet custom (sw),metallic,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2811,ohc,4,156,mfi,3.6,3.9,7,145,5000,24,15.23,133.68,47,1371,no,no,no,no,no,no,3228036
31,honda civic,standard,gas,std,2,hatchback,fwd,front,86.6,144.6,63.9,50.8,1713,ohc,4,92,1bbl,2.91,3.41,9.6,58,4800,54,12.61,121.95,25.5,1297,no,no,no,no,no,no,1613271
32,honda civic cvcc,standard,gas,std,2,hatchback,fwd,front,86.6,144.6,63.9,50.8,1819,ohc,4,92,1bbl,2.91,3.41,9.2,76,6000,38,13.41,149.24,25.5,1346,no,no,no,no,no,no,1706895
